"","ID","score"
"245",245,0.006
"246",246,0.002
"247",247,0.294
"248",248,0.482
"249",249,0.836
"250",250,0.266
"251",251,0.342
"252",252,0.116
"253",253,0.024
"254",254,0.88
"255",255,0.34
"256",256,0.014
"257",257,0.29
"258",258,0.112
"259",259,0.462
"260",260,0.292
"261",261,0.786
"262",262,0.422
"263",263,0.952
"264",264,0.854
"265",265,0.282
"266",266,0.054
"267",267,0.284
"268",268,0.062
"269",269,0.01
"270",270,0.152
"271",271,0.034
"272",272,0.344
"273",273,0.94
"274",274,0.6
"275",275,0.176
"276",276,0.012
"277",277,0.622
"278",278,0.002
"279",279,0.228
"280",280,0.488
"281",281,0.03
"282",282,0.112
"283",283,0.9
"284",284,0.496
"285",285,0.692
"286",286,0.116
"287",287,0.424
"288",288,0
"289",289,0.022
"290",290,0.06
"291",291,0.9
"292",292,0.832
"293",293,0.996
"294",294,0.482
"295",295,0.59
"296",296,0.864
"297",297,0.098
"298",298,0.058
"299",299,0.358
"300",300,0.128
"301",301,0.94
"302",302,0.008
"303",303,0
"304",304,0.93
"305",305,0.844
"306",306,0.062
"307",307,0.284
"308",308,0.018
"309",309,0.952
"310",310,0.88
"311",311,0.092
"312",312,0.924
"313",313,0.682
"314",314,0.14
"315",315,0.008
"316",316,0.01
"317",317,0.042
"318",318,0.214
"319",319,0.88
"320",320,0.112
"321",321,0.786
"322",322,0.014
"323",323,0.176
"324",324,0.974
"325",325,0.618
"326",326,0.06
"327",327,0.104
"328",328,0.144
"329",329,0.074
"330",330,0.028
"331",331,0.886
"332",332,0.328
"333",333,0.014
"334",334,0.134
"335",335,0.042
"336",336,0.692
"337",337,0.008
"338",338,0.012
"339",339,0.87
"340",340,0.392
"341",341,0.056
"342",342,0.846
"343",343,0.43
"344",344,0.036
"345",345,0.006
"346",346,0.034
"347",347,0.76
"348",348,0.066
"349",349,0.102
"350",350,0.316
"351",351,0.064
"352",352,0.084
"353",353,0.412
"354",354,0.158
"355",355,0.216
"356",356,0.116
"357",357,0.78
"358",358,0.074
"359",359,0.05
"360",360,0.058
"361",361,0.002
"362",362,0.06
"363",363,0.048
"364",364,0.054
"365",365,0.888
"366",366,0.212
"367",367,0.786
"368",368,0.184
"369",369,0
"370",370,0.082
"371",371,0.816
"372",372,0
"373",373,0.944
"374",374,0.996
"375",375,0.796
"376",376,0.042
"377",377,0
"378",378,0.48
"379",379,0.012
"380",380,0.064
"381",381,0.542
"382",382,0.864
"383",383,0.398
"384",384,0.54
"385",385,0.002
"386",386,0.588
"387",387,0.328
"388",388,0.642
"389",389,0
"390",390,0.038
"391",391,0.012
"392",392,0.432
"393",393,0.03
"394",394,0.74
"395",395,0.98
"396",396,0.096
"397",397,0.864
"398",398,0.198
"399",399,0.906
"400",400,0.008
"401",401,0.864
"402",402,0.894
"403",403,0.002
"404",404,0.106
"405",405,0.056
"406",406,0.12
"407",407,0.168
"408",408,0.052
"409",409,0.258
"410",410,0.048
"411",411,0.118
"412",412,0.854
"413",413,0.12
"414",414,0.742
"415",415,0.588
"416",416,0.056
"417",417,0
"418",418,0.066
"419",419,0.082
"420",420,0.584
"421",421,0.056
"422",422,0.56
"423",423,0.038
"424",424,0.466
"425",425,0.004
"426",426,0.092
"427",427,0
"428",428,0.116
"429",429,0.07
"430",430,0
"431",431,0.068
"432",432,0.102
"433",433,0.878
"434",434,0.482
"435",435,0.188
"436",436,0.012
"437",437,0.92
"438",438,0.034
"439",439,0.9
"440",440,0.006
"441",441,0.026
"442",442,0.004
"443",443,0.094
"444",444,0.076
"445",445,0.182
"446",446,0.016
"447",447,0.01
"448",448,0.012
"449",449,0.056
"450",450,0
"451",451,0.578
"452",452,0.028
"453",453,0.04
"454",454,0.816
"455",455,0.328
"456",456,0.914
"457",457,0.596
"458",458,0.056
"459",459,0.06
"460",460,0
"461",461,0.37
"462",462,0.008
"463",463,0.014
"464",464,0
"465",465,0.924
"466",466,0.06
"467",467,0.082
"468",468,0.002
"469",469,0.186
"470",470,0.712
"471",471,0.58
"472",472,0.312
"473",473,0.004
"474",474,0.284
"475",475,0.056
"476",476,0.016
"477",477,0.622
"478",478,0.104
"479",479,0.55
"480",480,0.984
"481",481,0.826
"482",482,0.126
"483",483,0.088
"484",484,0.004
"485",485,0.43
"486",486,0.058
"487",487,0.034
"488",488,0.542
"489",489,0.778
"490",490,0.008
"491",491,0.006
"492",492,0.348
"493",493,0.964
"494",494,0.004
"495",495,0.198
"496",496,0.98
"497",497,0.008
"498",498,0.02
"499",499,0.592
"500",500,0.584
